text,letterColor,corrAns,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,session,participant,date,expName,psychopyVersion,frameRate,
blue,blue,right,1,0,0,0,4,right,1,2.5469751360001283,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,blue,right,0,0,1,1,3,right,1,0.738110665000022,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,red,left,0,0,2,2,5,right,0,1.1729916529998263,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,red,left,1,0,3,3,0,left,1,1.307238297999902,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,green,down,0,0,4,4,1,left,0,0.8209263139997347,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,green,down,1,0,5,5,2,down,1,0.6205693370002336,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,blue,right,1,1,0,6,4,right,1,0.8884249580000869,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,blue,right,0,1,1,7,3,down,0,1.0056767419996504,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,red,left,1,1,2,8,0,left,1,0.7201284610000585,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,green,down,0,1,3,9,1,left,0,0.7706525009998586,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,green,down,1,1,4,10,2,right,0,0.4690772910003034,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,red,left,0,1,5,11,5,right,0,0.13460492500007604,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,green,down,0,2,0,12,1,down,1,0.3183297410000705,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,blue,right,0,2,1,13,3,left,0,0.21833826400006728,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,red,left,0,2,2,14,5,left,1,0.151293583000097,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,green,down,1,2,3,15,2,left,0,0.10108516299987969,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,blue,right,1,2,4,16,4,down,0,0.2181735240001217,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,red,left,1,2,5,17,0,right,0,0.06768987499981449,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,green,down,1,3,0,18,2,right,0,0.11730898399991929,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,blue,right,1,3,1,19,4,down,0,0.1345741969998926,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,green,down,0,3,2,20,1,left,0,0.08428643599972929,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,red,left,1,3,3,21,0,left,1,0.16734923199965124,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,blue,right,0,3,4,22,3,left,0,0.0342084949998025,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,red,left,0,3,5,23,5,left,1,0.2521596340002361,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,red,left,1,4,0,24,0,down,0,0.00025915600008374895,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,red,left,0,4,1,25,5,down,0,0.06755678299987267,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
blue,blue,right,1,4,2,26,4,right,1,0.06770669400020779,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,green,down,1,4,3,27,2,right,0,0.0005737649998991401,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
red,green,down,0,4,4,28,1,right,0,0.08427486899972791,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
green,blue,right,0,4,5,29,3,right,1,0.03276791200005391,01,,2019_Aug_16_1139,stroop,3.0.7,59.69122778429745,
